"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Eduardo Escobar","- - -","309","1330","58","169","202","7","7.7 %","19.2 %",".230",".295",".270",".327",".501",".343","113","1.5","23.0","6.1","7.2","6153"
"Lorenzo Cain","Brewers","289","1243","21","165","86","48","9.7 %","16.1 %",".111",".328",".283",".360",".394",".330","104","6.8","11.1","19.7","7.2","9077"
"Kris Bryant","Cubs","249","1091","44","167","129","6","11.2 %","23.1 %",".218",".335",".278",".379",".496",".371","131","3.2","46.5","-9.4","7.1","15429"
"Andrelton Simmons","Angels","249","1024","18","115","115","20","5.8 %","7.9 %",".114",".290",".280",".326",".395",".311","97","-0.6","-5.6","40.9","7.1","10847"
"Max Kepler","Twins","290","1207","56","178","148","5","10.9 %","16.2 %",".225",".240",".238",".327",".463",".336","109","-0.9","13.8","16.5","7.1","12144"
"Rafael Devers","Red Sox","277","1192","53","188","181","13","7.2 %","20.1 %",".223",".317",".282",".335",".505",".349","115","4.4","27.8","1.9","6.9","17350"
"Anthony Rizzo","Cubs","299","1278","52","163","195","11","11.0 %","13.0 %",".206",".296",".288",".390",".494",".374","133","-11.1","43.1","-15.0","6.9","3473"
"Nelson Cruz","- - -","264","1112","78","151","205","1","10.0 %","22.8 %",".288",".302",".282",".365",".569",".387","147","-9.3","56.3","-26.3","6.7","2434"
"Michael Conforto","Mets","304","1286","61","168","174","10","13.1 %","24.0 %",".221",".290",".250",".356",".471",".350","123","1.4","39.1","-12.7","6.7","16376"
"Starling Marte","Pirates","277","1192","43","178","154","58","5.0 %","17.0 %",".195",".315",".286",".335",".481",".345","115","5.5","29.0","-0.4","6.7","9241"
"Brian Anderson","Marlins","282","1190","31","144","131","7","8.9 %","20.4 %",".162",".321",".268",".350",".430",".337","113","-0.9","19.2","7.1","6.4","18289"
"Andrew Benintendi","Red Sox","286","1276","29","175","155","31","10.2 %","19.3 %",".170",".330",".279",".355",".448",".344","112","7.0","25.1","-5.5","6.4","17901"
"Matt Carpenter","Cardinals","285","1169","51","170","127","10","14.1 %","24.6 %",".223",".289",".244",".357",".467",".350","121","1.5","31.3","-7.1","6.3","8090"
